发展	FA_T1 ZHAN_T3
首席执行官	SHOU_T3 XI_T2 ZHI_T2 XING_T2 GUAN_T1
独资	DU_T2 ZI_T1
铁道	TIE_T3 DAO_T4
硬币	YING_T4 BI_T4
跌破	DIE_T1 PO_T4
插队	CHA_T1 DUI_T4
高利贷	GAO_T1 LI_T4 DAI_T4;GAO_T1 LI_T0 DAI_T4
专营	ZHUAN_T1 YING_T2
估价	GU_T1 JIA_T4
益处	YI_T4 CHU_T4;YI_T4 CHU_T0
工钱	GONG_T1 QIAN_T2;GONG_T1 QIAN_T0
推介会	TUI_T1 JIE_T4 HUI_T4
回调	
超值	CHAO_T1 ZHI_T2
所有者	SUO_T2 YOU_T2 ZHE_T3;SUO_T3 YOU_T3 ZHE_T3
抵消	DI_T3 XIAO_T1
要价	YAO_T4 JIA_T4
黑手	HEI_T1 SHOU_T3
短线	DUAN_T3 XIAN_T4
萧条	XIAO_T1 TIAO_T2
出逃	CHU_T1 TAO_T2
经理人	JING_T1 LI_T3 REN_T2
出货	CHU_T1 HUO_T4
佣金	YONG_T4 JIN_T1
体彩	TI_T2 CAI_T3
市场占有率	SHI_T4 CHANG_T3 ZHAN_T4 YOU_T3 LV_T4
海尔	HAI_T2 ER_T3;HAI_T2 ER_T0
东航	DONG_T1 HANG_T2
压低	YA_T1 DI_T1
损耗	SUN_T3 HAO_T4
图形	TU_T2 XING_T2
仪表	YI_T2 BIAO_T3
后市	HOU_T4 SHI_T4
房款	FANG_T2 KUAN_T3
上证	
支票	ZHI_T1 PIAO_T4
增资	ZENG_T1 ZI_T1
准备金率	ZHUN_T3 BEI_T4 JIN_T1 LV_T4
顶峰	DING_T3 FENG_T1
发行量	FA_T1 XING_T2 LIANG_T4
淡出	DAN_T4 CHU_T1
收款	SHOU_T1 KUAN_T3
开门红	KAI_T1 MEN_T2 HONG_T2
盗用	DAO_T4 YONG_T4
携程	XIE_T2 CHENG_T2
图表	TU_T2 BIAO_T3
古董	GU_T2 DONG_T3;GU_T3 DONG_T3
买方	MAI_T3 FANG_T1
摇摆	YAO_T2 BAI_T3
资本金	ZI_T1 BEN_T3 JIN_T1
申购	SHEN_T1 GOU_T4
接洽	JIE_T1 QIA_T4
大连港	DA_T4 LIAN_T2 GANG_T3
新世界	XIN_T1 SHI_T4 JIE_T4
主营业务	ZHU_T3 YING_T2 YE_T4 WU_T4
现货	XIAN_T4 HUO_T4
回报率	HUI_T2 BAO_T4 LV_T4
澳元	AO_T4 YUAN_T2
资本主义	ZI_T1 BEN_T2 ZHU_T3 YI_T4;ZI_T1 BEN_T3 ZHU_T3 YI_T4
国有化	GUO_T2 YOU_T3 HUA_T4
批发商	PI_T1 FA_T1 SHANG_T1
涨跌	ZHANG_T3 DIE_T1
主板	ZHU_T2 BAN_T3;ZHU_T3 BAN_T3
预热	YU_T4 RE_T4
补助金	BU_T3 ZHU_T4 JIN_T1
顺差	SHUN_T4 CHA_T1
诺基亚	NUO_T4 JI_T1 YA_T4
可信度	KE_T3 XIN_T4 DU_T4
租借	ZU_T1 JIE_T4
搜狐	SOU_T1 HU_T2
锦江	JIN_T3 JIANG_T1
母公司	MU_T3 GONG_T1 SI_T1
周期性	ZHOU_T1 QI_T1 XING_T4
新台阶	
外债	WAI_T4 ZHAI_T4
最高点	ZUI_T4 GAO_T1 DIAN_T3
公用事业	GONG_T1 YONG_T4 SHI_T4 YE_T4
充值	CHONG_T1 ZHI_T2
网银	WANG_T3 YIN_T2
王府井	WANG_T2 FU_T2 JING_T3;WANG_T2 FU_T3 JING_T3
抛售	PAO_T1 SHOU_T4
薪金	XIN_T1 JIN_T1
亚马逊	YA_T4 MA_T3 XUN_T4
卡号	KA_T3 HAO_T4
保险业	BAO_T2 XIAN_T3 YE_T4;BAO_T3 XIAN_T3 YE_T4
质押	ZHI_T4 YA_T1
套现	TAO_T4 XIAN_T4
溢价	YI_T4 JIA_T4
补足	BU_T3 ZU_T2
收储	SHOU_T1 CHU_T3
陆家嘴	LU_T4 JIA_T1 ZUI_T3
可口可乐	KE_T2 KOU_T2 KE_T3 LE_T4;KE_T3 KOU_T3 KE_T3 LE_T4
九州	JIU_T3 ZHOU_T1
徐家汇	XU_T2 JIA_T1 HUI_T4
私企	SI_T1 QI_T3
年金	NIAN_T2 JIN_T1
过热	GUO_T4 RE_T4
吃紧	CHI_T1 JIN_T3
本息	BEN_T3 XI_T1
汇丰	HUI_T4 FENG_T1
倾销	QING_T1 XIAO_T1
净值	JING_T4 ZHI_T2
遗嘱	YI_T2 ZHU_T3
遥遥领先	YAO_T2 YAO_T2 LING_T3 XIAN_T1
不容乐观	BU_T4 RONG_T2 LE_T4 GUAN_T1
入主	RU_T4 ZHU_T3
失守	SHI_T1 SHOU_T3
财团	CAI_T2 TUAN_T2
逆势	NI_T4 SHI_T4
金牛	JIN_T1 NIU_T2
批文	PI_T1 WEN_T2
谷底	GU_T2 DI_T3;GU_T3 DI_T3
附加费	FU_T4 JIA_T1 FEI_T4
增发	ZENG_T1 FA_T1
拒收	JU_T4 SHOU_T1
鄂尔多斯	E_T4 ER_T3 DUO_T1 SI_T1
国安	GUO_T2 AN_T1
税金	SHUI_T4 JIN_T1
南洋	NAN_T2 YANG_T2
总行	ZONG_T3 HANG_T2
斩获	ZHAN_T3 HUO_T4
财政赤字	CAI_T2 ZHENG_T4 CHI_T4 ZI_T4
背书	BEI_T4 SHU_T1
贵金属	GUI_T4 JIN_T1 SHU_T3
市场体系	SHI_T4 CHANG_T2 TI_T3 XI_T4
暴富	BAO_T4 FU_T4
委托书	WEI_T3 TUO_T1 SHU_T1
牛市	NIU_T2 SHI_T4
第一财经日报	
散户	SAN_T4 HU_T4;SAN_T3 HU_T4
联通	LIAN_T2 TONG_T1
停牌	TING_T2 PAI_T2
海航	HAI_T3 HANG_T2
翻一番	FAN_T1 YI_T4 FAN_T1
中行	ZHONG_T1 HANG_T2;ZHONG_T1 XING_T2
救市	JIU_T4 SHI_T4
股本	GU_T2 BEN_T3;GU_T3 BEN_T3
白云机场	
存货	CUN_T2 HUO_T4
时效性	SHI_T2 XIAO_T4 XING_T4
逃税	TAO_T2 SHUI_T4
静止	JING_T4 ZHI_T3
网下	WANG_T3 XIA_T4
外币	WAI_T4 BI_T4
金矿	JIN_T1 KUANG_T4
外销	WAI_T4 XIAO_T1
金条	JIN_T1 TIAO_T2
保监会	BAO_T3 JIAN_T1 HUI_T4
流动资金	LIU_T2 DONG_T4 ZI_T1 JIN_T1
盈余	YING_T2 YU_T2
比价	BI_T3 JIA_T4
有价证券	YOU_T3 JIA_T4 ZHENG_T4 QUAN_T4
天津港	TIAN_T1 JIN_T1 GANG_T3
保单	BAO_T3 DAN_T1
结清	JIE_T2 QING_T1
首付款	SHOU_T3 FU_T4 KUAN_T3
展期	ZHAN_T3 QI_T1
国民收入	GUO_T2 MIN_T2 SHOU_T1 RU_T4
古玩	GU_T3 WAN_T2
反转	FAN_T2 ZHUAN_T3;FAN_T3 ZHUAN_T4;FAN_T3 ZHUAN_T3
联办	LIAN_T2 BAN_T4
监事会	JIAN_T1 SHI_T4 HUI_T4
回购	HUI_T2 GOU_T4
一年期	
意向书	YI_T4 XIANG_T4 SHU_T1
中小板	ZHONG_T1 XIAO_T2 BAN_T3
面额	MIAN_T4 E_T2
银联	YIN_T2 LIAN_T2
国网	GUO_T2 WANG_T3
看涨	KAN_T4 ZHANG_T3
经济参考报	
借款人	JIE_T4 KUAN_T3 REN_T2
广发	GUANG_T3 FA_T1
承租人	CHENG_T2 ZU_T1 REN_T2
百花	BAI_T3 HUA_T1
融通	RONG_T2 TONG_T1
放量	FANG_T4 LIANG_T4
出纳	CHU_T1 NA_T4
白云山	BAI_T2 YUN_T2 SHAN_T1
准备金	ZHUN_T3 BEI_T4 JIN_T1
临界	LIN_T2 JIE_T4
逆差	NI_T4 CHA_T1;NI_T4 CHA_T4
偿债	CHANG_T2 ZHAI_T4
非公经济	
退场	TUI_T4 CHANG_T3
日内	RI_T4 NEI_T4
颓势	TUI_T2 SHI_T4
投票权	TOU_T2 PIAO_T4 QUAN_T2
测验	CE_T4 YAN_T4
赎回	SHU_T2 HUI_T2
豁免	HUO_T4 MIAN_T3
金融界	JIN_T1 RONG_T2 JIE_T4
双开	SHUANG_T1 KAI_T1
深交所	SHEN_T1 JIAO_T1 SUO_T3
通盘	TONG_T1 PAN_T2
金融街	JIN_T1 RONG_T2 JIE_T1
清偿	QING_T1 CHANG_T2
打转	DA_T2 ZHUAN_T3;DA_T3 ZHUAN_T4
钱币	QIAN_T2 BI_T4
高盛	GAO_T1 SHENG_T4
净资产	JING_T4 ZI_T1 CHAN_T3
新经济	XIN_T1 JING_T1 JI_T4
经济技术开发区	JING_T1 JI_T4 JI_T4 SHU_T4 KAI_T1 FA_T1 QU_T1
合金	HE_T2 JIN_T1
炒房	CHAO_T3 FANG_T2
衍生品	YAN_T3 SHENG_T1 PIN_T3
波浪	BO_T1 LANG_T4
日照	RI_T4 ZHAO_T4
宝钢	BAO_T3 GANG_T1
监事	JIAN_T1 SHI_T4
一触即发	YI_T2 CHU_T4 JI_T2 FA_T1
金融办	JIN_T1 RONG_T2 BAN_T4
中远	ZHONG_T1 YUAN_T3
永安	YONG_T3 AN_T1
软着陆	RUAN_T3 ZHAO_T2 LU_T4;RUAN_T3 ZHUO_T2 LU_T4
利空	LI_T4 KONG_T1
板材	BAN_T3 CAI_T2
金桥	JIN_T1 QIAO_T2
电讯	DIAN_T4 XUN_T4
综述	ZONG_T1 SHU_T4
摩根	MO_T2 GEN_T1
动因	DONG_T4 YIN_T1
年审	NIAN_T2 SHEN_T3
雅虎	YA_T2 HU_T3
退市	TUI_T4 SHI_T4
人寿保险	REN_T2 SHOU_T4 BAO_T2 XIAN_T3;REN_T2 SHOU_T4 BAO_T3 XIAN_T3
中南财经政法大学	ZHONG_T1 NAN_T2 CAI_T2 JING_T1 ZHENG_T4 FA_T3 DA_T4 XUE_T2
三角形	SAN_T1 JIAO_T3 XING_T2
托盘	TUO_T1 PAN_T2
据传	JU_T4 CHUAN_T2
盎司	ANG_T4 SI_T1;ANG_T4 SI_T0
出资人	CHU_T1 ZI_T1 REN_T2
中国银监会	ZHONG_T1 GUO_T2 YIN_T2 JIAN_T1 HUI_T4
信贷资金	XIN_T4 DAI_T4 ZI_T1 JIN_T1
花旗	HUA_T1 QI_T2
政府采购	ZHENG_T4 FU_T2 CAI_T3 GOU_T4;ZHENG_T4 FU_T3 CAI_T3 GOU_T4
假定	JIA_T3 DING_T4
富国	FU_T4 GUO_T2
胜算	SHENG_T4 SUAN_T4
抵押物	DI_T3 YA_T1 WU_T4
国泰	GUO_T2 TAI_T4
特困户	TE_T4 KUN_T4 HU_T4
通胀率	TONG_T1 ZHANG_T4 LV_T4
银行家	YIN_T2 HANG_T2 JIA_T1
上汽	SHANG_T4 QI_T4
避风港	BI_T4 FENG_T1 GANG_T3
证券化	ZHENG_T4 QUAN_T4 HUA_T4
变量	BIAN_T4 LIANG_T4
配售	PEI_T4 SHOU_T4
折旧	ZHE_T2 JIU_T4
新纪元	XIN_T1 JI_T4 YUAN_T2
买进	MAI_T3 JIN_T4
伊利	YI_T1 LI_T4
经济日报	JING_T1 JI_T4 RI_T4 BAO_T4
低点	DI_T1 DIAN_T3
浦发	PU_T3 FA_T1
偿付	CHANG_T2 FU_T4
探底	TAN_T4 DI_T3
折价	ZHE_T2 JIA_T4
烽火	FENG_T1 HUO_T3
崩盘	BENG_T1 PAN_T2
沪指	HU_T4 ZHI_T3
银山	YIN_T2 SHAN_T1
寿险	SHOU_T4 XIAN_T3
上交所	SHANG_T4 JIAO_T1 SUO_T3
保额	BAO_T3 E_T2
蓝筹股	LAN_T2 CHOU_T2 GU_T3
珠峰	ZHU_T1 FENG_T1
硬指标	YING_T4 ZHI_T3 BIAO_T1
金杯	JIN_T1 BEI_T1
热炒	RE_T4 CHAO_T3
惠普	HUI_T4 PU_T3
白金	BAI_T2 JIN_T1
天安	TIAN_T1 AN_T1
雷声	LEI_T2 SHENG_T1
招商局	ZHAO_T1 SHANG_T1 JU_T2
交割	JIAO_T1 GE_T1
买断	MAI_T3 DUAN_T4
分期付款	FEN_T1 QI_T1 FU_T4 KUAN_T3
招行	ZHAO_T1 HANG_T2
武钢	WU_T3 GANG_T1
避税	BI_T4 SHUI_T4
趋同	QU_T1 TONG_T2
英特尔	YING_T1 TE_T4 ER_T3
期权	QI_T1 QUAN_T2
评语	PING_T2 YU_T3
债务人	ZHAI_T4 WU_T4 REN_T2
无形资产	WU_T2 XING_T2 ZI_T1 CHAN_T3
开拓进取	KAI_T1 TUO_T4 JIN_T4 QU_T3
货币化	HUO_T4 BI_T4 HUA_T4
强生	QIANG_T2 SHENG_T1
获批	HUO_T4 PI_T1
星巴克	XING_T1 BA_T1 KE_T4
中国人民银行	ZHONG_T1 GUO_T2 REN_T2 MIN_T2 YIN_T2 HANG_T2
钱庄	QIAN_T2 ZHUANG_T1
异动	YI_T4 DONG_T4
进口商	JIN_T4 KOU_T3 SHANG_T1
预付款	YU_T4 FU_T4 KUAN_T3
比索	BI_T2 SUO_T3;BI_T3 SUO_T3
盗刷	DAO_T4 SHUA_T1
次月	CI_T4 YUE_T4
财险	CAI_T2 XIAN_T3
金鹰	JIN_T1 YING_T1
销售一空	XIAO_T1 SHOU_T4 YI_T4 KONG_T1
国家外汇管理局	GUO_T2 JIA_T1 WAI_T4 HUI_T4 GUAN_T2 LI_T3 JU_T2;GUO_T2 JIA_T1 WAI_T4 HUI_T4 GUAN_T3 LI_T3 JU_T2
港股	GANG_T2 GU_T3
参保率	
中银	ZHONG_T1 YIN_T2
游资	YOU_T2 ZI_T1
投资方	TOU_T2 ZI_T1 FANG_T1
三联	SAN_T1 LIAN_T2
印花税	YIN_T4 HUA_T1 SHUI_T4
交行	JIAO_T1 HANG_T2
存贷款	CUN_T2 DAI_T4 KUAN_T3
金城	JIN_T1 CHENG_T2
中国经济周刊	
物价指数	WU_T4 JIA_T4 ZHI_T3 SHU_T4
担保人	DAN_T1 BAO_T3 REN_T2
光华	GUANG_T1 HUA_T2
国泰君安	GUO_T2 TAI_T4 JUN_T1 AN_T1
黑钱	HEI_T1 QIAN_T2
出口商	CHU_T1 KOU_T3 SHANG_T1
风控	FENG_T1 KONG_T4
仓位	CANG_T1 WEI_T4
国电	GUO_T2 DIAN_T4
跨行	
存单	CUN_T2 DAN_T1
纪念章	JI_T4 NIAN_T4 ZHANG_T1
拒付	JU_T4 FU_T4
统计学	TONG_T3 JI_T4 XUE_T2
京西	JING_T1 XI_T1
邮政储蓄	YOU_T2 ZHENG_T4 CHU_T3 XU_T4
调回	DIAO_T4 HUI_T2
扭亏为盈	NIU_T3 KUI_T1 WEI_T2 YING_T2
卧龙	WO_T4 LONG_T2
财务部	CAI_T2 WU_T4 BU_T4
发行价	FA_T1 XING_T2 JIA_T4
消费类	XIAO_T1 FEI_T4 LEI_T4
大中型企业	DA_T4 ZHONG_T1 XING_T2 QI_T3 YE_T4
阿波罗	A_T1 BO_T1 LUO_T2
还本付息	HUAN_T2 BEN_T3 FU_T4 XI_T1
发行人	FA_T1 XING_T2 REN_T2
坏账	HUAI_T4 ZHANG_T4
中间商	ZHONG_T1 JIAN_T1 SHANG_T1
国药	GUO_T2 YAO_T4
价差	JIA_T4 CHA_T1
卖价	MAI_T4 JIA_T4
中文网	
商品市场	SHANG_T1 PIN_T3 SHI_T4 CHANG_T3
商品化	SHANG_T1 PIN_T3 HUA_T4
双汇	SHUANG_T1 HUI_T4
优先权	YOU_T1 XIAN_T1 QUAN_T2
大人物	DA_T4 REN_T2 WU_T4
总需求	ZONG_T3 XU_T1 QIU_T2
下陷	XIA_T4 XIAN_T4
戴尔	DAI_T4 ER_T3;DAI_T4 ER_T0
代销	DAI_T4 XIAO_T1
摘牌	ZHAI_T1 PAI_T2
跌至	DIE_T1 ZHI_T4
赌球	DU_T3 QIU_T2
资产负债表	ZI_T1 CHAN_T3 FU_T4 ZHAI_T4 BIAO_T3
利差	LI_T4 CHA_T1
灰色收入	
汇票	HUI_T4 PIAO_T4
金库	JIN_T1 KU_T4
金卡	JIN_T1 KA_T3
净赚	JING_T4 ZHUAN_T4
月报	YUE_T4 BAO_T4
典当	DIAN_T3 DANG_T4
风险投资	FENG_T1 XIAN_T3 TOU_T2 ZI_T1
跌势	DIE_T1 SHI_T4
投机者	TOU_T2 JI_T1 ZHE_T3
公平交易	GONG_T1 PING_T2 JIAO_T1 YI_T4
承兑	CHENG_T2 DUI_T4
动产	DONG_T4 CHAN_T3
国货	GUO_T2 HUO_T4
到账	DAO_T4 ZHANG_T4
当期	DANG_T1 QI_T1
闲钱	XIAN_T2 QIAN_T2
每日经济新闻	MEI_T3 RI_T4 JING_T1 JI_T4 XIN_T1 WEN_T2
清仓	QING_T1 CANG_T1
联华	LIAN_T2 HUA_T2
纪念币	JI_T4 NIAN_T4 BI_T4
报税	BAO_T4 SHUI_T4
股票市场	GU_T3 PIAO_T4 SHI_T4 CHANG_T3
创投	CHUANG_T4 TOU_T2
滚雪球	GUN_T2 XUE_T3 QIU_T2;GUN_T3 XUE_T3 QIU_T2
按日	
压价	YA_T1 JIA_T4
外高桥	WAI_T4 GAO_T1 QIAO_T2
牌价	PAI_T2 JIA_T4
熊市	XIONG_T2 SHI_T4
长阳	CHANG_T2 YANG_T2
假钞	JIA_T3 CHAO_T1
领票	LING_T3 PIAO_T4
汇出	HUI_T4 CHU_T1
另行通知	LING_T4 XING_T2 TONG_T1 ZHI_T1
张裕	ZHANG_T1 YU_T4
蓄势	XU_T4 SHI_T4
缴款	JIAO_T2 KUAN_T3;JIAO_T3 KUAN_T3
亚信	YA_T4 XIN_T4
国信	GUO_T2 XIN_T4
空头	KONG_T1 TOU_T2
投资性	TOU_T2 ZI_T1 XING_T4
营业执照	YING_T2 YE_T4 ZHI_T2 ZHAO_T4
核战争	HE_T2 ZHAN_T4 ZHENG_T1
四季度	SI_T4 JI_T4 DU_T4
汇市	HUI_T4 SHI_T4
合资企业	HE_T2 ZI_T1 QI_T3 YE_T4
催收	CUI_T1 SHOU_T1
广厦	GUANG_T3 SHA_T4
费率	FEI_T4 LV_T4
贷款人	DAI_T4 KUAN_T3 REN_T2
普涨	
金融城	JIN_T1 RONG_T2 CHENG_T2
科学城	KE_T1 XUE_T2 CHENG_T2
储蓄卡	CHU_T3 XU_T4 KA_T3
股息	GU_T3 XI_T1
收市	SHOU_T1 SHI_T4
战略家	ZHAN_T4 LVE_T4 JIA_T1
负债率	FU_T4 ZHAI_T4 LV_T4
汇兑	HUI_T4 DUI_T4
币值	BI_T4 ZHI_T2
账簿	ZHANG_T4 BO_T2;ZHANG_T4 BU_T4
套牢	TAO_T4 LAO_T2
康佳	KANG_T1 JIA_T1
盲目性	MANG_T2 MU_T4 XING_T4
中华网	
出租人	CHU_T1 ZU_T1 REN_T2
点数	DIAN_T2 SHU_T3;DIAN_T3 SHU_T4
债市	ZHAI_T4 SHI_T4
停板	TING_T2 BAN_T3
交易区	JIAO_T1 YI_T4 QU_T1
克拉	KE_T4 LA_T1
黑金	HEI_T1 JIN_T1
买通	MAI_T3 TONG_T1
承销	CHENG_T2 XIAO_T1
华安	HUA_T4 AN_T1;HUA_T2 AN_T1
操作员	CAO_T1 ZUO_T4 YUAN_T2
典当行	DIAN_T3 DANG_T4 HANG_T2
早盘	ZAO_T3 PAN_T2
炎黄	YAN_T2 HUANG_T2
网商	WANG_T3 SHANG_T1
持卡人	CHI_T2 KA_T3 REN_T2
宝洁	BAO_T3 JIE_T2
信托公司	XIN_T4 TUO_T1 GONG_T1 SI_T1
取现	QU_T3 XIAN_T4
放高利贷	
凌云	LING_T2 YUN_T2
纯金	CHUN_T2 JIN_T1
祁连山	QI_T2 LIAN_T2 SHAN_T1
公债	GONG_T1 ZHAI_T4
变现	BIAN_T4 XIAN_T4
付息	FU_T4 XI_T1
度量	DU_T4 LIANG_T4;DU_T4 LIANG_T0
外汇管理	WAI_T4 HUI_T4 GUAN_T2 LI_T3;WAI_T4 HUI_T4 GUAN_T3 LI_T3
分销商	FEN_T1 XIAO_T1 SHANG_T1;FEN_T4 XIAO_T1 SHANG_T1
遗产税	YI_T2 CHAN_T3 SHUI_T4
监事长	JIAN_T1 SHI_T4 ZHANG_T3
融资额	RONG_T2 ZI_T1 E_T2
兼营	JIAN_T1 YING_T2
金融市场	JIN_T1 RONG_T2 SHI_T4 CHANG_T3
最高价	ZUI_T4 GAO_T1 JIA_T4
贴现	TIE_T1 XIAN_T4
美国银行	MEI_T3 GUO_T2 YIN_T2 HANG_T2
上海财经大学	SHANG_T4 HAI_T3 CAI_T2 JING_T1 DA_T4 XUE_T2
鞍钢	AN_T1 GANG_T1
撤资	CHE_T4 ZI_T1
接盘	JIE_T1 PAN_T2
救世主	JIU_T4 SHI_T4 ZHU_T3
开卡	
后撤	HOU_T4 CHE_T4
阿胶	E_T1 JIAO_T1
金融股	JIN_T1 RONG_T2 GU_T3
结汇	JIE_T2 HUI_T4
无息贷款	WU_T2 XI_T1 DAI_T4 KUAN_T3
营销部	YING_T2 XIAO_T1 BU_T4
税基	SHUI_T4 JI_T1
对冲	DUI_T4 CHONG_T1
海龙	HAI_T3 LONG_T2
安信	AN_T1 XIN_T4
萤火虫	YING_T2 HUO_T3 CHONG_T2
通联	TONG_T1 LIAN_T2
步步高	BU_T4 BU_T4 GAO_T1
规划委	GUI_T1 HUA_T4 WEI_T3
中签	ZHONG_T4 QIAN_T1
收盘价	SHOU_T1 PAN_T2 JIA_T4
国际大厦	
机制性	
挤兑	JI_T3 DUI_T4;JI_T3 DUI_T0
比特	BI_T3 TE_T4
开盘价	KAI_T1 PAN_T2 JIA_T4
六合彩	LIU_T4 HE_T2 CAI_T3
存款人	CUN_T2 KUAN_T3 REN_T2
平仓	PING_T2 CANG_T1
全聚德	QUAN_T2 JU_T4 DE_T2
公募	GONG_T1 MU_T4
全面发力	
韵达	YUN_T4 DA_T2
鼎立	DING_T3 LI_T4
银监局	YIN_T2 JIAN_T1 JU_T2
中国联通	ZHONG_T1 GUO_T2 LIAN_T2 TONG_T1
乐视网	
中国经营报	
满堂红	MAN_T3 TANG_T2 HONG_T2
国投	GUO_T2 TOU_T2
选择权	XUAN_T3 ZE_T2 QUAN_T2
金马	JIN_T1 MA_T3
出资额	CHU_T1 ZI_T1 E_T2
承销商	CHENG_T2 XIAO_T1 SHANG_T1
新卡	XIN_T1 KA_T3
热钱	RE_T4 QIAN_T2
经济基本面	
通货紧缩	TONG_T1 HUO_T4 JIN_T3 SUO_T1
特别关注	TE_T4 BIE_T2 GUAN_T1 ZHU_T4
币种	BI_T4 ZHONG_T3
银元	YIN_T2 YUAN_T2
通货	TONG_T1 HUO_T4
杀跌	SHA_T1 DIE_T1
股份有限公司	GU_T3 FEN_T4 YOU_T3 XIAN_T4 GONG_T1 SI_T1
自由竞争	ZI_T4 YOU_T2 JING_T4 ZHENG_T1
新大陆	XIN_T1 DA_T4 LU_T4
资产负债率	ZI_T1 CHAN_T3 FU_T4 ZHAI_T4 LV_T4
暂行办法	ZAN_T4 XING_T2 BAN_T4 FA_T3
分理处	FEN_T1 LI_T3 CHU_T4;FEN_T4 LI_T3 CHU_T4
涨跌幅	ZHANG_T3 DIE_T1 FU_T2
截止日	
所有权证	
收进	SHOU_T1 JIN_T4
债权国	ZHAI_T4 QUAN_T2 GUO_T2
华新	HUA_T2 XIN_T1
天龙	TIAN_T1 LONG_T2
百事可乐	BAI_T3 SHI_T4 KE_T3 LE_T4
农林牧渔	NONG_T2 LIN_T2 MU_T4 YU_T2
私募	SI_T1 MU_T4
华西村	
商誉	SHANG_T1 YU_T4
奇虎	QI_T2 HU_T3
银币	YIN_T2 BI_T4
抄底	CHAO_T1 DI_T3
实施细则	SHI_T2 SHI_T1 XI_T4 ZE_T2
经济学界	
减仓	JIAN_T3 CANG_T1
信用证	XIN_T4 YONG_T4 ZHENG_T4
购回	GOU_T4 HUI_T2
卖主	MAI_T4 ZHU_T3
管理办法	GUAN_T2 LI_T3 BAN_T4 FA_T3;GUAN_T3 LI_T3 BAN_T4 FA_T3
万事达	WAN_T4 SHI_T4 DA_T2
交易商	JIAO_T1 YI_T4 SHANG_T1
行话	HANG_T2 HUA_T4
随行就市	SUI_T2 HANG_T2 JIU_T4 SHI_T4
领跌	LING_T3 DIE_T1
国华	GUO_T2 HUA_T2
投资家	TOU_T2 ZI_T1 JIA_T1
包钢	BAO_T1 GANG_T1
信贷资产	XIN_T4 DAI_T4 ZI_T1 CHAN_T3
汇源	HUI_T4 YUAN_T2
中长线	ZHONG_T1 CHANG_T2 XIAN_T4
包销	BAO_T1 XIAO_T1
方兴	FANG_T1 XING_T1
公司制	GONG_T1 SI_T1 ZHI_T4
水仙	SHUI_T3 XIAN_T1
长岭	CHANG_T2 LING_T3
嘉实	JIA_T1 SHI_T2
证券法	ZHENG_T4 QUAN_T4 FA_T3
新城市	
五环	WU_T3 HUAN_T2
尾盘	
三农	SAN_T1 NONG_T2
布告	BU_T4 GAO_T4
中农	ZHONG_T1 NONG_T2
组选	ZU_T2 XUAN_T3
城投	CHENG_T2 TOU_T2
跨年度	KUA_T4 NIAN_T2 DU_T4
五道口	WU_T3 DAO_T4 KOU_T3
文峰	WEN_T2 FENG_T1
翻两番	FAN_T1 LIANG_T3 FAN_T1
信贷员	XIN_T4 DAI_T4 YUAN_T2
还本	HUAN_T2 BEN_T3
均线	JUN_T1 XIAN_T4
保护价	BAO_T3 HU_T4 JIA_T4
中国国航	ZHONG_T1 GUO_T2 GUO_T2 HANG_T2
大东海	DA_T4 DONG_T1 HAI_T3
大盘股	DA_T4 PAN_T2 GU_T3
商社	SHANG_T1 SHE_T4
北大荒	BEI_T3 DA_T4 HUANG_T1
信达	XIN_T4 DA_T2
总账	ZONG_T3 ZHANG_T4
杜邦	DU_T4 BANG_T1
重仓	ZHONG_T4 CANG_T1
丹江	DAN_T1 JIANG_T1
普通股	PU_T3 TONG_T1 GU_T3
香梨	XIANG_T1 LI_T2
聚酯	JU_T4 ZHI_T3
分散化	
汇通	HUI_T4 TONG_T1
老凤祥	LAO_T3 FENG_T4 XIANG_T2
资产评估	ZI_T1 CHAN_T3 PING_T2 GU_T1
磁卡	CI_T2 KA_T3;CI_T2 QIA_T3
个股	GE_T4 GU_T3
百大	BAI_T3 DA_T4
投资界	TOU_T2 ZI_T1 JIE_T4
低开	DI_T1 KAI_T1
中北	ZHONG_T1 BEI_T3
商业城	SHANG_T1 YE_T4 CHENG_T2
气势如虹	QI_T4 SHI_T4 RU_T2 HONG_T2
中石油	ZHONG_T1 SHI_T2 YOU_T2
扣款	KOU_T4 KUAN_T3
上证综指	
仁和	REN_T2 HE_T2
原始积累	YUAN_T2 SHI_T3 JI_T1 LEI_T3
摩根大通	MO_T2 GEN_T1 DA_T4 TONG_T1
验钞机	YAN_T4 CHAO_T1 JI_T1
银行界	YIN_T2 HANG_T2 JIE_T4
金融资产	JIN_T1 RONG_T2 ZI_T1 CHAN_T3
审计师	SHEN_T3 JI_T4 SHI_T1
广深铁路	GUANG_T3 SHEN_T1 TIE_T3 LU_T4
追涨	ZHUI_T1 ZHANG_T3
储蓄率	CHU_T3 XU_T4 LV_T4
波幅	BO_T1 FU_T2
流标	LIU_T2 BIAO_T1
黑豹	HEI_T1 BAO_T4
日经指数	
加仓	JIA_T1 CANG_T1
寄放	JI_T4 FANG_T4;JI_T4 FANG_T0
中化	ZHONG_T1 HUA_T4
南网	
宽限期	KUAN_T1 XIAN_T4 QI_T1
贵宾厅	GUI_T4 BIN_T1 TING_T1
估值	GU_T1 ZHI_T2
合股	HE_T2 GU_T3
